energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_href,track_album_name,playlist_name,analysis_url,track_name,track_album_release_date,instrumentalness,track_album_id,mode,key,acousticness,id,playlist_subgenre,type,duration_min
0.592,157.969,0.521,pop,0.8158422256869218,0.122,0.535,"Lady Gaga, Bruno Mars",3.0,0.0304,100,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,Die With A Smile,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,Die With A Smile,2024-08-16,0.0,10FLjwfpbxLmW8c25Xyc2N,0.0,6.0,0.308,2plbrEY59IikOBgBGLjaoe,mainstream,audio_features,4.19
0.507,104.978,0.747,pop,0.7673679308320005,0.117,0.438,Billie Eilish,4.0,0.0358,97,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,HIT ME HARD AND SOFT,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,2024-05-17,0.0608,7aJuG4TFXa2hmE4z1yxc3n,1.0,2.0,0.2,6dOtVTDdiauQNBQEDOtlAB,mainstream,audio_features,3.51
0.808,108.548,0.554,pop,0.8888978881082068,0.159,0.372,Gracie Abrams,4.0,0.0368,93,https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad,The Secret of Us (Deluxe),Today's Top Hits,https://api.spotify.com/v1/audio-analysis/7ne4VBA60CxGM75vw0EYad,That’s So True,2024-10-18,0.0,0hBRqPYPXhr1RkTDG3n4Mk,1.0,1.0,0.214,7ne4VBA60CxGM75vw0EYad,mainstream,audio_features,2.77
0.91,112.966,0.67,pop,0.8909024642112298,0.304,0.786,Sabrina Carpenter,4.0,0.0634,81,https://api.spotify.com/v1/tracks/1d7Ptw3qYcfpdLNL5REhtJ,Short n' Sweet,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/1d7Ptw3qYcfpdLNL5REhtJ,Taste,2024-08-23,0.0,4B4Elma4nNDUyl6D5PvQkj,0.0,0.0,0.0939,1d7Ptw3qYcfpdLNL5REhtJ,mainstream,audio_features,2.62
0.783,149.027,0.777,pop,0.8826614291210239,0.355,0.939,"ROSÉ, Bruno Mars",4.0,0.26,98,https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY,APT.,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/5vNRhkKd0yEAg8suGBpjeY,APT.,2024-10-18,0.0,2IYQwwgxgOIn7t3iF6ufFD,0.0,0.0,0.0283,5vNRhkKd0yEAg8suGBpjeY,mainstream,audio_features,2.83
0.582,116.712,0.7,pop,0.8526332840626076,0.0881,0.785,Chappell Roan,4.0,0.0356,94,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Today's Top Hits,https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",2024-04-05,0.0,1WAjjRMfZjEXtB0lQrAw6Q,0.0,11.0,0.0502,0WbMK4wrZ1wFSty9F7FCgu,mainstream,audio_features,3.64
0.561,150.069,0.669,pop,0.8409297993399074,0.0954,0.841,Addison Rae,4.0,0.0411,88,https://api.spotify.com/v1/tracks/6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,2024-08-09,0.00962,0XA403JTounqFh2owquBXu,1.0,10.0,0.495,6MzofobZt2dm0Kf1hTThFz,mainstream,audio_features,2.83
0.247,148.101,0.467,pop,0.7302933970478063,0.17,0.126,Billie Eilish,4.0,0.0431,93,https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h,HIT ME HARD AND SOFT,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,2024-05-17,0.000271,7aJuG4TFXa2hmE4z1yxc3n,0.0,6.0,0.612,3QaPy1KgI7nu9FJEQUgn6h,mainstream,audio_features,4.36
0.416,94.926,0.492,pop,0.7619414015834127,0.203,0.297,Gigi Perez,4.0,0.0254,71,https://api.spotify.com/v1/tracks/0UYnhUfnUj5adChuAXvLUB,Sailor Song,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/0UYnhUfnUj5adChuAXvLUB,Sailor Song,2024-07-26,8.61e-05,4DWrYvfGXRE8ko5ZxlIpit,1.0,11.0,0.686,0UYnhUfnUj5adChuAXvLUB,mainstream,audio_features,3.53
0.722,119.973,0.769,pop,0.8622511997084255,0.111,0.57,"The Weeknd, Playboi Carti",4.0,0.0507,92,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL,Timeless,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),2024-09-27,2.56e-06,2IRxVVqbSbqHJo8Zx50LYn,0.0,11.0,0.0584,1Es7AUAhQvapIcoh3qMKDL,mainstream,audio_features,4.27
0.667,130.019,0.776,pop,0.8392289468888575,0.0761,0.618,"Charli xcx, Billie Eilish",4.0,0.0983,85,https://api.spotify.com/v1/tracks/3WOhcATHxK2SLNeP5W3v1v,Guess featuring Billie Eilish,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,2024-08-01,0.3,3ThlxfLSy4bfKzxWqmC7VN,1.0,7.0,0.0146,3WOhcATHxK2SLNeP5W3v1v,mainstream,audio_features,2.42
